"LANGUAGE,""NAME"",""VERSION"",""LICENSES"",""COPYRIGHTS"",""URL"""
"java,""neethi"",""3.0.1"",""Apache-2.0"","""","""""
"java,""org.apache.cxf.xjcplugins:cxf-xjc-boolean"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-boolean"""
"java,""org.apache.cxf.xjcplugins:cxf-xjc-dv"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-dv"""
"java,""org.apache.cxf.xjcplugins:cxf-xjc-ts"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-ts"""
"java,""org.apache.cxf:cxf-api"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-api"""
"java,""org.apache.cxf:cxf-rt-bindings-coloc"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-coloc"""
"java,""org.apache.cxf:cxf-rt-bindings-soap"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-soap"""
"java,""org.apache.cxf:cxf-rt-bindings-xml"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-xml"""
"java,""org.apache.cxf:cxf-rt-core"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-core"""
"java,""org.apache.cxf:cxf-rt-databinding-aegis"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-databinding-aegis"""
"java,""org.apache.cxf:cxf-rt-databinding-jaxb"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-databinding-jaxb"""
"java,""org.apache.cxf:cxf-rt-frontend-jaxws"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-jaxws"""
"java,""org.apache.cxf:cxf-rt-frontend-simple"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-simple"""
"java,""org.apache.cxf:cxf-rt-management"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-management"""
"java,""org.apache.cxf:cxf-rt-transports-http"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-transports-http"""
"java,""org.apache.cxf:cxf-rt-transports-jms"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-transports-jms"""
"java,""org.apache.cxf:cxf-rt-transports-local"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-transports-local"""
"java,""org.apache.cxf:cxf-rt-ws-addr"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-ws-addr"""
"java,""org.apache.cxf:cxf-rt-ws-policy"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-ws-policy"""
"java,""org.apache.cxf:cxf-rt-ws-rm"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-ws-rm"""
"java,""org.apache.cxf:cxf-rt-ws-security"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-ws-security"""
"java,""org.apache.cxf:cxf-tools-common"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-common"""
"java,""org.apache.cxf:cxf-tools-java2ws"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-java2ws"""
"java,""org.apache.cxf:cxf-tools-validator"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-validator"""
"java,""org.apache.cxf:cxf-tools-wsdlto-core"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-wsdlto-core"""
"java,""org.apache.cxf:cxf-tools-wsdlto-databinding-jaxb"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb"""
"java,""org.apache.cxf:cxf-tools-wsdlto-frontend-jaxws"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.cxf/cxf-tools-wsdlto-frontend-jaxws"""
"java,""org.apache.santuario:xmlsec"",""1.5.1"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.santuario/xmlsec"""
"java,""org.apache.ws.security:wss4j"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.ws.security/wss4j"""
"java,""org.apache.ws.xmlschema:xmlschema-core"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.apache.ws.xmlschema/xmlschema-core"""
"java,""org.netbeans.external:org-apache-commons-io"",""RELEASE112"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/org.netbeans.external/org-apache-commons-io"""
"java,""org.slf4j:slf4j-api"",""1.6.1"",""MIT"","""",""https://mvnrepository.com/artifact/org.slf4j/slf4j-api"""
"java,""org.slf4j:slf4j-log4j12"",""1.6.1"",""MIT"","""",""https://mvnrepository.com/artifact/org.slf4j/slf4j-log4j12"""
"java,""org.springframework.ldap:spring-ldap-core"",""1.3.2.RELEASE"",""Apache-2.0"",""Copyright 2005-2013 the original authors"",""https://mvnrepository.com/artifact/org.springframework.ldap/spring-ldap-core"""
"java,""org.springframework:spring-aop"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-aop"""
"java,""org.springframework:spring-beans"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-beans"""
"java,""org.springframework:spring-context"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-context"""
"java,""org.springframework:spring-core"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-core"""
"java,""org.springframework:spring-expression"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-expression"""
"java,""org.springframework:spring-jdbc"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-jdbc"""
"java,""org.springframework:spring-orm"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-orm"""
"java,""org.springframework:spring-test"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-test"""
"java,""org.springframework:spring-tx"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-tx"""
"java,""org.springframework:spring-web"",""4.1.2.RELEASE"",""Apache-2.0"",""Copyright 20042008 the original author or authors."",""https://mvnrepository.com/artifact/org.springframework/spring-web"""
"java,""postgresql:postgresql"",""9.0-801.jdbc3"",""BSD"","""",""https://mvnrepository.com/artifact/postgresql/postgresql"""
"java,""servlet"",""2.4"",""CDDL+GPL"","""","""""
"java,""util-perf"",""1.0.1"",""Apache-2.0"","""","""""
"java,""wsdl4j:wsdl4j"",""--"",""CPL-1.0"","""",""https://mvnrepository.com/artifact/wsdl4j/wsdl4j"""
